index,True Label,LSTM Top-1,LSTM Confidence (%),Agent Pick,Decision (Accept/Reject),Result (Correct/Wrong)
0,SEPSIS,SEPSIS,35.10%,SEPSIS,Accept,Correct
1,SEPSIS,TOXIC_METABOLIC,64.30%,SEPSIS,Reject,Correct
2,SEPSIS,SEPSIS,24.20%,SEPSIS,Accept,Correct
3,SEPSIS,STROKE_NEURO,53.40%,SURGICAL_COMPLICATION,Reject,Wrong
4,SEPSIS,SEPSIS,70.20%,SEPSIS,Accept,Correct
5,SEPSIS,SEPSIS,46.20%,SEPSIS,Accept,Correct
6,SEPSIS,SEPSIS,27.20%,SEPSIS,Accept,Correct
7,SEPSIS,SEPSIS,28.40%,SEPSIS,Accept,Correct
8,SEPSIS,TOXIC_METABOLIC,36.70%,SEPSIS,Reject,Correct
9,SEPSIS,LIVER_FAILURE,32.50%,GI_BLEED,Reject,Wrong
10,SEPSIS,TOXIC_METABOLIC,33.40%,TOXIC_METABOLIC,Accept,Wrong
11,SEPSIS,SEPSIS,52.60%,SEPSIS,Accept,Correct
12,SEPSIS,SEPSIS,41.80%,GI_BLEED,Reject,Wrong
13,SEPSIS,SEPSIS,77.60%,SEPSIS,Accept,Correct
14,SEPSIS,SURGICAL_COMPLICATION,34.60%,SEPSIS,Reject,Correct
15,SEPSIS,SEPSIS,38.10%,SEPSIS,Accept,Correct
16,SEPSIS,SEPSIS,27.60%,SEPSIS,Accept,Correct
17,SEPSIS,LIVER_FAILURE,35.10%,GI_BLEED,Reject,Wrong
18,SEPSIS,SEPSIS,44.70%,SEPSIS,Accept,Correct
19,SEPSIS,SEPSIS,62.50%,SURGICAL_COMPLICATION,Reject,Wrong
20,STROKE_NEURO,SEPSIS,32.50%,SEPSIS,Accept,Wrong
21,STROKE_NEURO,STROKE_NEURO,56.60%,STROKE_NEURO,Accept,Correct
22,STROKE_NEURO,STROKE_NEURO,70.20%,STROKE_NEURO,Accept,Correct
23,STROKE_NEURO,STROKE_NEURO,60.80%,STROKE_NEURO,Accept,Correct
24,STROKE_NEURO,TOXIC_METABOLIC,21.90%,AFIB_ARRHYTHMIA,Reject,Wrong
25,STROKE_NEURO,SEPSIS,25.40%,TOXIC_METABOLIC,Reject,Wrong
26,STROKE_NEURO,STROKE_NEURO,62.70%,SURGICAL_COMPLICATION,Reject,Wrong
27,STROKE_NEURO,TRAUMA_NEURO,26.40%,SEPSIS,Reject,Wrong
28,STROKE_NEURO,STROKE_NEURO,64.10%,SURGICAL_COMPLICATION,Reject,Wrong
29,STROKE_NEURO,STROKE_NEURO,49.60%,SEPSIS,Reject,Wrong
30,STROKE_NEURO,STROKE_NEURO,60.50%,SURGICAL_COMPLICATION,Reject,Wrong
31,STROKE_NEURO,TOXIC_METABOLIC,27.10%,TOXIC_METABOLIC,Accept,Wrong
32,STROKE_NEURO,STROKE_NEURO,56.70%,STROKE_NEURO,Accept,Correct
33,STROKE_NEURO,SEPSIS,38.30%,SEPSIS,Accept,Wrong
34,STROKE_NEURO,STROKE_NEURO,53.00%,STROKE_NEURO,Accept,Correct
35,STROKE_NEURO,SEPSIS,47.10%,SEPSIS,Accept,Wrong
36,ACUTE_MI,ACUTE_MI,31.50%,HEART_FAILURE,Reject,Wrong
37,ACUTE_MI,VALVE_DISEASE,36.00%,CORONARY_ARTERY_DZ,Reject,Wrong
38,ACUTE_MI,CORONARY_ARTERY_DZ,53.30%,CORONARY_ARTERY_DZ,Accept,Wrong
39,ACUTE_MI,ACUTE_MI,73.70%,SURGICAL_COMPLICATION,Reject,Wrong
40,ACUTE_MI,SEPSIS,25.90%,SEPSIS,Accept,Wrong
41,ACUTE_MI,CORONARY_ARTERY_DZ,44.80%,CORONARY_ARTERY_DZ,Accept,Wrong
42,ACUTE_MI,STROKE_NEURO,32.50%,TOXIC_METABOLIC,Reject,Wrong
43,ACUTE_MI,HEART_FAILURE,33.20%,AFIB_ARRHYTHMIA,Reject,Wrong
44,ACUTE_MI,CORONARY_ARTERY_DZ,53.00%,CORONARY_ARTERY_DZ,Accept,Wrong
45,CORONARY_ARTERY_DZ,VALVE_DISEASE,40.30%,CORONARY_ARTERY_DZ,Reject,Correct
46,CORONARY_ARTERY_DZ,VALVE_DISEASE,44.10%,CORONARY_ARTERY_DZ,Reject,Correct
47,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,53.30%,CORONARY_ARTERY_DZ,Accept,Correct
48,CORONARY_ARTERY_DZ,TOXIC_METABOLIC,21.80%,TOXIC_METABOLIC,Accept,Wrong
49,CORONARY_ARTERY_DZ,VALVE_DISEASE,53.40%,CORONARY_ARTERY_DZ,Reject,Correct
50,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,53.80%,CORONARY_ARTERY_DZ,Accept,Correct
51,CORONARY_ARTERY_DZ,CORONARY_ARTERY_DZ,51.70%,CORONARY_ARTERY_DZ,Accept,Correct
52,HEART_FAILURE,SURGICAL_COMPLICATION,21.40%,GI_BLEED,Reject,Wrong
53,HEART_FAILURE,ACUTE_KIDNEY_INJURY,59.80%,ACUTE_KIDNEY_INJURY,Accept,Wrong
54,HEART_FAILURE,COPD_ASTHMA,22.00%,HEART_FAILURE,Reject,Correct
55,HEART_FAILURE,SEPSIS,30.10%,SEPSIS,Accept,Wrong
56,HEART_FAILURE,HEART_FAILURE,41.60%,HEART_FAILURE,Accept,Correct
57,HEART_FAILURE,ACUTE_MI,46.80%,AFIB_ARRHYTHMIA,Reject,Wrong
58,TOXIC_METABOLIC,TOXIC_METABOLIC,35.80%,TOXIC_METABOLIC,Accept,Correct
59,TOXIC_METABOLIC,TOXIC_METABOLIC,27.30%,TOXIC_METABOLIC,Accept,Correct
60,TOXIC_METABOLIC,TOXIC_METABOLIC,63.40%,ACUTE_KIDNEY_INJURY,Reject,Wrong
61,TOXIC_METABOLIC,TOXIC_METABOLIC,75.50%,TOXIC_METABOLIC,Accept,Correct
62,TOXIC_METABOLIC,TOXIC_METABOLIC,75.30%,TOXIC_METABOLIC,Accept,Correct
63,TRAUMA_NEURO,SEPSIS,24.30%,SEPSIS,Accept,Wrong
64,TRAUMA_NEURO,STROKE_NEURO,45.10%,SEPSIS,Reject,Wrong
65,TRAUMA_NEURO,TRAUMA_NEURO,42.50%,STROKE_NEURO,Reject,Wrong
