Index,True Label,LSTM Top-1,LSTM Confidence (%),Agent Pick,Decision (Accept/Reject),Result (Correct/Wrong)
0,SEPSIS,SEPSIS,49.50%,SEPSIS,Accept,Correct
1,SEPSIS,HEART_FAILURE,51.50%,SEPSIS,Reject,Correct
2,SEPSIS,SEPSIS,34.40%,SEPSIS,Accept,Correct
3,SEPSIS,SEPSIS,60.90%,SEPSIS,Accept,Correct
4,SEPSIS,SEPSIS,41.50%,SEPSIS,Accept,Correct
5,SEPSIS,SEPSIS,56.30%,SEPSIS,Accept,Correct
6,SEPSIS,SEPSIS,48.10%,SEPSIS,Accept,Correct
7,SEPSIS,SEPSIS,54.80%,SEPSIS,Accept,Correct
8,SEPSIS,SEPSIS,75.40%,SEPSIS,Accept,Correct
9,SEPSIS,ACUTE_MI,59.20%,SEPSIS,Reject,Correct
10,SEPSIS,SEPSIS,62.80%,SEPSIS,Accept,Correct
11,SEPSIS,SEPSIS,62.80%,SEPSIS,Accept,Correct
12,SEPSIS,SEPSIS,64.50%,SEPSIS,Accept,Correct
13,SEPSIS,SEPSIS,38.20%,SEPSIS,Accept,Correct
14,SEPSIS,ACUTE_MI,63.90%,SEPSIS,Reject,Correct
15,SEPSIS,SEPSIS,45.10%,SEPSIS,Accept,Correct
16,SEPSIS,SEPSIS,41.20%,SEPSIS,Accept,Correct
17,SEPSIS,SEPSIS,78.00%,SEPSIS,Accept,Correct
18,SEPSIS,SEPSIS,82.50%,SEPSIS,Accept,Correct
19,SEPSIS,HEART_FAILURE,35.00%,SEPSIS,Reject,Correct
20,SEPSIS,SEPSIS,42.90%,SEPSIS,Accept,Correct
21,SEPSIS,STROKE_NEURO,44.20%,SEPSIS,Reject,Correct
22,SEPSIS,SEPSIS,73.30%,SEPSIS,Accept,Correct
23,SEPSIS,ACUTE_MI,38.80%,SEPSIS,Reject,Correct
24,SEPSIS,ACUTE_MI,48.20%,SEPSIS,Reject,Correct
25,SEPSIS,HEART_FAILURE,38.50%,SEPSIS,Reject,Correct
26,SEPSIS,CORONARY_ARTERY_DZ,46.00%,ACUTE_MI,Reject,Wrong
27,SEPSIS,HEART_FAILURE,49.00%,SEPSIS,Reject,Correct
28,SEPSIS,STROKE_NEURO,86.00%,SEPSIS,Reject,Correct
29,SEPSIS,HEART_FAILURE,57.50%,SEPSIS,Reject,Correct
30,SEPSIS,SEPSIS,51.40%,SEPSIS,Accept,Correct
31,SEPSIS,SEPSIS,74.80%,SEPSIS,Accept,Correct
32,SEPSIS,SEPSIS,37.50%,SEPSIS,Accept,Correct
33,STROKE_NEURO,STROKE_NEURO,87.60%,STROKE_NEURO,Accept,Correct
34,STROKE_NEURO,STROKE_NEURO,63.40%,STROKE_NEURO,Accept,Correct
35,STROKE_NEURO,SEPSIS,66.90%,SEPSIS,Accept,Wrong
36,STROKE_NEURO,STROKE_NEURO,94.50%,SEPSIS,Reject,Wrong
37,STROKE_NEURO,STROKE_NEURO,90.20%,STROKE_NEURO,Accept,Correct
38,STROKE_NEURO,STROKE_NEURO,69.60%,SEPSIS,Reject,Wrong
39,STROKE_NEURO,STROKE_NEURO,68.80%,SEPSIS,Reject,Wrong
